year,stage,home_team,away_team,ft_home_goals,ft_away_goals,ht_home_goals,ht_away_goals,ft_total_goals,ht_total_goals,which_half_more_goals,both_teams_to_score
2006,Group,Brazil,Croatia,1,0,1,0,1,1,first,no
2006,Group,Spain,Ukraine,4,0,2,0,4,2,same,no
2006,Group,Tunisia,Saudi Arabia,2,2,1,0,4,1,second,yes
2006,Group,Germany,Poland,1,0,0,0,1,0,second,no
2006,Group,Ecuador,Costa Rica,3,0,1,0,3,1,second,no
2006,Group,England,"rn"">Trinidad and Tobago",2,0,0,0,2,0,second,no
2006,Group,Sweden,Paraguay,1,0,0,0,1,0,second,no
2006,Group,Argentina,"rn"">Serbia and Montenegro",6,0,3,0,6,3,same,no
2006,Group,Netherlands,C�te d'Ivoire,2,1,2,1,3,3,first,yes
2006,Group,Mexico,Angola,0,0,0,0,0,0,same,no
2006,Group,Portugal,IR Iran,2,0,0,0,2,0,second,no
2006,Group,Czech Republic,Ghana,0,2,0,1,2,1,same,no
2006,Group,Italy,USA,1,1,1,1,2,2,first,yes
2006,Group,Japan,Croatia,0,0,0,0,0,0,same,no
2006,Group,Brazil,Australia,2,0,0,0,2,0,second,no
2006,Group,France,Korea Republic,1,1,1,0,2,1,same,yes
2006,Group,Togo,Switzerland,0,2,0,1,2,1,same,no
2006,Group,Saudi Arabia,Ukraine,0,4,0,2,4,2,same,no
2006,Group,Spain,Tunisia,3,1,0,1,4,1,second,yes
2006,Group,Ecuador,Germany,0,3,0,2,3,2,first,no
2006,Group,Costa Rica,Poland,1,2,1,1,3,2,first,yes
2006,Group,Sweden,England,2,2,0,1,4,1,second,yes
2006,Group,Paraguay,"rn"">Trinidad and Tobago",2,0,1,0,2,1,same,no
2006,Group,Iran,Angola,1,1,0,0,2,0,second,yes
2006,Group,Portugal,Mexico,2,1,2,1,3,3,first,yes
2006,Group,Netherlands,Argentina,0,0,0,0,0,0,same,no
2006,Group,C�te d'Ivoire,"rn"">Serbia and Montenegro",3,2,1,2,5,3,first,yes
2006,Group,Czech Republic,Italy,0,2,0,1,2,1,same,no
2006,Group,Ghana,USA,2,1,2,1,3,3,first,yes
2006,Group,Japan,Brazil,1,4,1,1,5,2,second,yes
2006,Group,Croatia,Australia,2,2,1,1,4,2,same,yes
2006,Group,Ukraine,Tunisia,1,0,0,0,1,0,second,no
2006,Group,Saudi Arabia,Spain,0,1,0,1,1,1,first,no
2006,Group,Togo,France,0,2,0,0,2,0,second,no
2006,Group,Switzerland,Korea Republic,2,0,1,0,2,1,same,no
2006,Round of 16,Germany,Sweden,2,0,2,0,2,2,first,no
2006,Round of 16,Argentina,Mexico,2,1,0,0,3,0,second,yes
2006,Round of 16,England,Ecuador,1,0,0,0,1,0,second,no
2006,Round of 16,Portugal,Netherlands,1,0,1,0,1,1,first,no
2006,Round of 16,Italy,Australia,1,0,0,0,1,0,second,no
2006,Round of 16,Switzerland,Ukraine,0,0,0,0,0,0,same,no
2006,Round of 16,Brazil,Ghana,3,0,2,0,3,2,first,no
2006,Round of 16,Spain,France,1,3,1,1,4,2,same,yes
2006,Quarter-finals,Germany,Argentina,1,1,0,0,2,0,second,yes
2006,Quarter-finals,Italy,Ukraine,3,0,1,0,3,1,second,no
2006,Quarter-finals,England,Portugal,0,0,0,0,0,0,same,no
2006,Quarter-finals,Brazil,France,0,1,0,0,1,0,second,no
2006,Semi-finals,Germany,Italy,0,2,0,0,2,0,second,no
2006,Semi-finals,Portugal,France,0,1,0,1,1,1,first,no
2006,Third Place Play-off,Germany,Portugal,3,1,0,0,4,0,second,yes
2006,Final,Italy,France,1,1,0,0,2,0,second,yes
2010,Group,South Africa,Mexico,1,1,0,0,2,0,second,yes
2010,Group,Uruguay,France,0,0,0,0,0,0,same,no
2010,Group,Korea Republic,Greece,2,0,1,0,2,1,same,no
2010,Group,Argentina,Nigeria,1,0,1,0,1,1,first,no
2010,Group,England,USA,1,1,1,1,2,2,first,yes
2010,Group,Algeria,Slovenia,0,1,0,0,1,0,second,no
2010,Group,Serbia,Ghana,0,1,0,0,1,0,second,no
2010,Group,Germany,Australia,4,0,2,0,4,2,same,no
2010,Group,Netherlands,Denmark,2,0,0,0,2,0,second,no
2010,Group,Japan,Cameroon,1,0,1,0,1,1,first,no
2010,Group,Italy,Paraguay,1,1,0,1,2,1,same,yes
2010,Group,New Zealand,Slovakia,1,1,0,0,2,0,second,yes
2010,Group,C�te d'Ivoire,Portugal,0,0,0,0,0,0,same,no
2010,Group,Brazil,Korea DPR,2,1,0,0,3,0,second,yes
2010,Group,Honduras,Chile,0,1,0,1,1,1,first,no
2010,Group,Spain,Switzerland,0,1,0,0,1,0,second,no
2010,Group,South Africa,Uruguay,0,3,0,1,3,1,second,no
2010,Group,Argentina,Korea Republic,4,1,2,1,5,3,first,yes
2010,Group,Greece,Nigeria,2,1,1,1,3,2,first,yes
2010,Group,France,Mexico,0,2,0,0,2,0,second,no
2010,Group,Germany,Serbia,0,1,0,1,1,1,first,no
2010,Group,Slovenia,USA,2,2,2,0,4,2,same,yes
2010,Group,England,Algeria,0,0,0,0,0,0,same,no
2010,Group,Netherlands,Japan,1,0,0,0,1,0,second,no
2010,Group,Ghana,Australia,1,1,1,1,2,2,first,yes
2010,Group,Cameroon,Denmark,1,2,1,1,3,2,first,yes
2010,Group,Slovakia,Paraguay,0,2,0,1,2,1,same,no
2010,Group,Italy,New Zealand,1,1,1,1,2,2,first,yes
2010,Group,Brazil,C�te d'Ivoire,3,1,1,0,4,1,second,yes
2010,Group,Portugal,Korea DPR,7,0,1,0,7,1,second,no
2010,Group,Chile,Switzerland,1,0,0,0,1,0,second,no
2010,Group,Spain,Honduras,2,0,1,0,2,1,same,no
2010,Group,Mexico,Uruguay,0,1,0,1,1,1,first,no
2010,Group,France,South Africa,1,2,0,2,3,2,first,yes
2010,Group,Nigeria,Korea Republic,2,2,1,1,4,2,same,yes
2010,Group,Greece,Argentina,0,2,0,0,2,0,second,no
2010,Group,Slovenia,England,0,1,0,1,1,1,first,no
2010,Group,USA,Algeria,1,0,0,0,1,0,second,no
2010,Group,Ghana,Germany,0,1,0,0,1,0,second,no
2010,Group,Australia,Serbia,2,1,0,0,3,0,second,yes
2010,Group,Slovakia,Italy,3,2,1,0,5,1,second,yes
2010,Group,Paraguay,New Zealand,0,0,0,0,0,0,same,no
2010,Group,Denmark,Japan,1,3,0,2,4,2,same,yes
2010,Group,Cameroon,Netherlands,1,2,0,1,3,1,second,yes
2010,Group,Portugal,Brazil,0,0,0,0,0,0,same,no
2010,Group,Korea DPR,C�te d'Ivoire,0,3,0,2,3,2,first,no
2010,Group,Chile,Spain,1,2,0,2,3,2,first,yes
2010,Group,Switzerland,Honduras,0,0,0,0,0,0,same,no
2010,Round of 16,Uruguay,Korea Republic,2,1,1,0,3,1,second,yes
2010,Round of 16,USA,Ghana,1,2,0,0,3,0,second,yes
2010,Round of 16,Germany,England,4,1,2,1,5,3,first,yes
2010,Round of 16,Argentina,Mexico,3,1,2,0,4,2,same,yes
2010,Round of 16,Netherlands,Slovakia,2,1,1,0,3,1,second,yes
2010,Round of 16,Brazil,Chile,3,0,2,0,3,2,first,no
2010,Round of 16,Paraguay,Japan,0,0,0,0,0,0,same,no
2010,Round of 16,Spain,Portugal,1,0,0,0,1,0,second,no
2010,Quarter-finals,Netherlands,Brazil,2,1,0,1,3,1,second,yes
2010,Quarter-finals,Uruguay,Ghana,1,1,0,0,2,0,second,yes
2010,Quarter-finals,Argentina,Germany,0,4,0,1,4,1,second,no
2010,Quarter-finals,Paraguay,Spain,0,1,0,0,1,0,second,no
2010,Semi-finals,Uruguay,Netherlands,2,3,1,1,5,2,second,yes
2010,Semi-finals,Germany,Spain,0,1,0,0,1,0,second,no
2010,Third Place Play-off,Uruguay,Germany,2,3,1,1,5,2,second,yes
2010,Final,Netherlands,Spain,0,1,0,0,1,0,second,no
2014,Group,Brazil,Croatia,3,1,1,1,4,2,same,yes
2014,Group,Mexico,Cameroon,1,0,0,0,1,0,second,no
2014,Group,Spain,Netherlands,1,5,1,1,6,2,second,yes
2014,Group,Chile,Australia,3,1,2,1,4,3,first,yes
2014,Group,Colombia,Greece,3,0,1,0,3,1,second,no
2014,Group,Uruguay,Costa Rica,1,3,1,0,4,1,second,yes
2014,Group,England,Italy,1,2,1,1,3,2,first,yes
2014,Group,C�te d'Ivoire,Japan,2,1,0,1,3,1,second,yes
2014,Group,Switzerland,Ecuador,2,1,0,1,3,1,second,yes
2014,Group,France,Honduras,3,0,1,0,3,1,second,no
2014,Group,Argentina,"rn"">Bosnia and Herzegovina",2,1,1,0,3,1,second,yes
2014,Group,Germany,Portugal,4,0,3,0,4,3,first,no
2014,Group,IR Iran,Nigeria,0,0,0,0,0,0,same,no
2014,Group,Ghana,USA,1,2,0,1,3,1,second,yes
2014,Group,Belgium,Algeria,2,1,0,1,3,1,second,yes
2014,Group,Brazil,Mexico,0,0,0,0,0,0,same,no
2014,Group,Russia,Korea Republic,1,1,0,0,2,0,second,yes
2014,Group,Australia,Netherlands,2,3,1,1,5,2,second,yes
2014,Group,Spain,Chile,0,2,0,2,2,2,first,no
2014,Group,Cameroon,Croatia,0,4,0,1,4,1,second,no
2014,Group,Colombia,C�te d'Ivoire,2,1,0,0,3,0,second,yes
2014,Group,Uruguay,England,2,1,1,0,3,1,second,yes
2014,Group,Japan,Greece,0,0,0,0,0,0,same,no
2014,Group,Italy,Costa Rica,0,1,0,1,1,1,first,no
2014,Group,Switzerland,France,2,5,0,3,7,3,second,yes
2014,Group,Honduras,Ecuador,1,2,1,1,3,2,first,yes
2014,Group,Argentina,IR Iran,1,0,0,0,1,0,second,no
2014,Group,Germany,Ghana,2,2,0,0,4,0,second,yes
2014,Group,Nigeria,"rn"">Bosnia and Herzegovina",1,0,1,0,1,1,first,no
2014,Group,Belgium,Russia,1,0,0,0,1,0,second,no
2014,Group,Korea Republic,Algeria,2,4,0,3,6,3,same,yes
2014,Group,USA,Portugal,2,2,0,1,4,1,second,yes
2014,Group,Australia,Spain,0,3,0,1,3,1,second,no
2014,Group,Netherlands,Chile,2,0,0,0,2,0,second,no
2014,Group,Cameroon,Brazil,1,4,1,2,5,3,first,yes
2014,Group,Croatia,Mexico,1,3,0,0,4,0,second,yes
2014,Group,Italy,Uruguay,0,1,0,0,1,0,second,no
2014,Group,Costa Rica,England,0,0,0,0,0,0,same,no
2014,Group,Japan,Colombia,1,4,1,1,5,2,second,yes
2014,Group,Greece,C�te d'Ivoire,2,1,1,0,3,1,second,yes
2014,Group,Nigeria,Argentina,2,3,1,2,5,3,first,yes
2014,Group,"rn"">Bosnia and Herzegovina",IR Iran,3,1,1,0,4,1,second,yes
2014,Group,Honduras,Switzerland,0,3,0,2,3,2,first,no
2014,Group,Ecuador,France,0,0,0,0,0,0,same,no
2014,Group,USA,Germany,0,1,0,0,1,0,second,no
2014,Group,Portugal,Ghana,2,1,1,0,3,1,second,yes
2014,Group,Korea Republic,Belgium,0,1,0,0,1,0,second,no
2014,Group,Algeria,Russia,1,1,0,1,2,1,same,yes
2014,Round of 16,Netherlands,Mexico,2,1,0,0,3,0,second,yes
2014,Round of 16,Costa Rica,Greece,1,1,0,0,2,0,second,yes
2014,Round of 16,Argentina,Switzerland,1,0,0,0,1,0,second,no
2014,Round of 16,Belgium,USA,2,1,0,0,3,0,second,yes
2014,Round of 16,Brazil,Chile,1,1,0,0,2,0,second,yes
2014,Round of 16,Colombia,Uruguay,2,0,1,0,2,1,same,no
2014,Round of 16,France,Nigeria,2,0,0,0,2,0,second,no
2014,Round of 16,Germany,Algeria,2,1,0,0,3,0,second,yes
2014,Quarter-finals,France,Germany,0,1,0,1,1,1,first,no
2014,Quarter-finals,Brazil,Colombia,2,1,1,0,3,1,second,yes
2014,Quarter-finals,Argentina,Belgium,1,0,1,0,1,1,first,no
2014,Quarter-finals,Netherlands,Costa Rica,0,0,0,0,0,0,same,no
2014,Semi-finals,Brazil,Germany,1,7,0,5,8,5,first,yes
2014,Semi-finals,Netherlands,Argentina,0,0,0,0,0,0,same,no
2014,Third Place Play-off,Brazil,Netherlands,0,3,0,2,3,2,first,no
2014,Final,Germany,Argentina,1,0,0,0,1,0,second,no
2018,Group,Russia,Saudi Arabia,5,0,2,0,5,2,second,no
2018,Group,Egypt,Uruguay,0,1,0,0,1,0,second,no
2018,Group,Morocco,Iran,0,1,0,0,1,0,second,no
2018,Group,Portugal,Spain,3,3,2,1,6,3,same,yes
2018,Group,France,Australia,2,1,0,0,3,0,second,yes
2018,Group,Argentina,Iceland,1,1,1,1,2,2,first,yes
2018,Group,Peru,Denmark,0,1,0,0,1,0,second,no
2018,Group,Croatia,Nigeria,2,0,1,0,2,1,same,no
2018,Group,Costa Rica,Serbia,0,1,0,0,1,0,second,no
2018,Group,Germany,Mexico,0,1,0,1,1,1,first,no
2018,Group,Brazil,Switzerland,1,1,1,0,2,1,same,yes
2018,Group,Sweden,South Korea,1,0,0,0,1,0,second,no
2018,Group,Belgium,Panama,3,0,0,0,3,0,second,no
2018,Group,Tunisia,England,1,2,1,1,3,2,first,yes
2018,Group,Colombia,Japan,1,2,1,1,3,2,first,yes
2018,Group,Poland,Senegal,1,2,0,1,3,1,second,yes
2018,Group,Russia,Egypt,3,1,0,0,4,0,second,yes
2018,Group,Portugal,Morocco,1,0,1,0,1,1,first,no
2018,Group,Uruguay,Saudi Arabia,1,0,1,0,1,1,first,no
2018,Group,Iran,Spain,0,1,0,0,1,0,second,no
2018,Group,Denmark,Australia,1,1,1,1,2,2,first,yes
2018,Group,France,Peru,1,0,1,0,1,1,first,no
2018,Group,Argentina,Croatia,0,3,0,0,3,0,second,no
2018,Group,Brazil,Costa Rica,2,0,0,0,2,0,second,no
2018,Group,Nigeria,Iceland,2,0,0,0,2,0,second,no
2018,Group,Serbia,Switzerland,1,2,1,0,3,1,second,yes
2018,Group,Belgium,Tunisia,5,2,3,1,7,4,first,yes
2018,Group,South Korea,Mexico,1,2,0,1,3,1,second,yes
2018,Group,Germany,Sweden,2,1,0,1,3,1,second,yes
2018,Group,England,Panama,6,1,5,0,7,5,first,yes
2018,Group,Japan,Senegal,2,2,1,1,4,2,same,yes
2018,Group,Poland,Colombia,0,3,0,1,3,1,second,no
2018,Group,Russia,Uruguay,0,3,0,2,3,2,first,no
2018,Group,Saudi Arabia,Egypt,2,1,1,1,3,2,first,yes
2018,Group,Spain,Morocco,2,2,1,1,4,2,same,yes
2018,Group,Iran,Portugal,1,1,0,1,2,1,same,yes
2018,Group,Australia,Peru,0,2,0,1,2,1,same,no
2018,Group,Denmark,France,0,0,0,0,0,0,same,no
2018,Group,Nigeria,Argentina,1,2,0,1,3,1,second,yes
2018,Group,Iceland,Croatia,1,2,0,0,3,0,second,yes
2018,Group,South Korea,Germany,2,0,0,0,2,0,second,no
2018,Group,Mexico,Sweden,0,3,0,0,3,0,second,no
2018,Group,Serbia,Brazil,0,2,0,1,2,1,same,no
2018,Group,Switzerland,Costa Rica,2,2,1,0,4,1,second,yes
2018,Group,Japan,Poland,0,1,0,0,1,0,second,no
2018,Group,Senegal,Colombia,0,1,0,0,1,0,second,no
2018,Group,Panama,Tunisia,1,2,1,0,3,1,second,yes
2018,Group,England,Belgium,0,1,0,0,1,0,second,no
2018,Round of 16,France,Argentina,4,3,1,1,7,2,second,yes
2018,Round of 16,Uruguay,Portugal,2,1,1,0,3,1,second,yes
2018,Round of 16,Russia,Spain,1,1,1,1,2,2,first,yes
2018,Round of 16,Croatia,Denmark,1,1,1,1,2,2,first,yes
2018,Round of 16,Brazil,Mexico,2,0,0,0,2,0,second,no
2018,Round of 16,Belgium,Japan,3,2,0,0,5,0,second,yes
2018,Round of 16,Sweden,Switzerland,1,0,0,0,1,0,second,no
2018,Round of 16,Colombia,England,1,1,0,0,2,0,second,yes
2018,Quarter-finals,Uruguay,France,0,2,0,1,2,1,same,no
2018,Quarter-finals,Brazil,Belgium,1,2,0,2,3,2,first,yes
2018,Quarter-finals,Sweden,England,0,2,0,1,2,1,same,no
2018,Quarter-finals,Russia,Croatia,2,2,1,1,4,2,same,yes
2018,Semi-finals,France,Belgium,1,0,0,0,1,0,second,no
2018,Semi-finals,Croatia,England,2,1,0,1,3,1,second,yes
2018,Third Place Play-off,Belgium,England,2,0,1,0,2,1,same,no
2018,Final,France,Croatia,4,2,2,1,6,3,same,yes
2022,Group,Qatar,Ecuador,0,2,0,2,2,2,first,no
2022,Group,Senegal,Netherlands,0,2,0,0,2,0,second,no
2022,Group,England,Iran,6,2,3,0,8,3,second,yes
2022,Group,United States,Wales,1,1,1,0,2,1,same,yes
2022,Group,Argentina,Saudi Arabia,1,2,1,0,3,1,second,yes
2022,Group,Mexico,Poland,0,0,0,0,0,0,same,no
2022,Group,Denmark,Tunisia,0,0,0,0,0,0,same,no
2022,Group,France,Australia,4,1,2,1,5,3,first,yes
2022,Group,Germany,Japan,1,2,1,0,3,1,second,yes
2022,Group,Spain,Costa Rica,7,0,3,0,7,3,second,no
2022,Group,Morocco,Croatia,0,0,0,0,0,0,same,no
2022,Group,Belgium,Canada,1,0,1,0,1,1,first,no
2022,Group,Switzerland,Cameroon,1,0,0,0,1,0,second,no
2022,Group,Brazil,Serbia,2,0,0,0,2,0,second,no
2022,Group,Uruguay,South Korea,0,0,0,0,0,0,same,no
2022,Group,Portugal,Ghana,3,2,0,0,5,0,second,yes
2022,Group,Qatar,Senegal,1,3,0,1,4,1,second,yes
2022,Group,Netherlands,Ecuador,1,1,1,0,2,1,same,yes
2022,Group,Wales,Iran,0,2,0,0,2,0,second,no
2022,Group,England,United States,0,0,0,0,0,0,same,no
2022,Group,Poland,Saudi Arabia,2,0,1,0,2,1,same,no
2022,Group,Argentina,Mexico,2,0,0,0,2,0,second,no
2022,Group,Tunisia,Australia,0,1,0,1,1,1,first,no
2022,Group,France,Denmark,2,1,0,0,3,0,second,yes
2022,Group,Japan,Costa Rica,0,1,0,0,1,0,second,no
2022,Group,Spain,Germany,1,1,0,0,2,0,second,yes
2022,Group,Belgium,Morocco,0,2,0,0,2,0,second,no
2022,Group,Croatia,Canada,4,1,2,1,5,3,first,yes
2022,Group,Cameroon,Serbia,3,3,1,2,6,3,same,yes
2022,Group,Brazil,Switzerland,1,0,0,0,1,0,second,no
2022,Group,South Korea,Ghana,2,3,0,2,5,2,second,yes
2022,Group,Portugal,Uruguay,2,0,0,0,2,0,second,no
2022,Group,Ecuador,Senegal,1,2,0,1,3,1,second,yes
2022,Group,Qatar,Netherlands,0,2,0,1,2,1,same,no
2022,Group,Wales,England,0,3,0,0,3,0,second,no
2022,Group,Iran,United States,0,1,0,1,1,1,first,no
2022,Group,Poland,Argentina,0,2,0,0,2,0,second,no
2022,Group,Saudi Arabia,Mexico,1,2,0,0,3,0,second,yes
2022,Group,Australia,Denmark,1,0,0,0,1,0,second,no
2022,Group,Tunisia,France,1,0,0,0,1,0,second,no
2022,Group,Japan,Spain,2,1,0,1,3,1,second,yes
2022,Group,Costa Rica,Germany,2,4,0,1,6,1,second,yes
2022,Group,Croatia,Belgium,0,0,0,0,0,0,same,no
2022,Group,Canada,Morocco,1,2,1,2,3,3,first,yes
2022,Group,Serbia,Switzerland,2,3,2,2,5,4,first,yes
2022,Group,Cameroon,Brazil,1,0,0,0,1,0,second,no
2022,Group,Ghana,Uruguay,0,2,0,2,2,2,first,no
2022,Group,South Korea,Portugal,2,1,1,1,3,2,first,yes
2022,Round of 16,Netherlands,United States,3,1,2,0,4,2,same,yes
2022,Round of 16,Argentina,Australia,2,1,1,0,3,1,second,yes
2022,Round of 16,France,Poland,3,1,1,0,4,1,second,yes
2022,Round of 16,England,Senegal,3,0,2,0,3,2,first,no
2022,Round of 16,Japan,Croatia,1,1,1,0,2,1,same,yes
2022,Round of 16,Brazil,South Korea,4,1,4,0,5,4,first,yes
2022,Round of 16,Morocco,Spain,0,0,0,0,0,0,same,no
2022,Round of 16,Portugal,Switzerland,6,1,2,0,7,2,second,yes
2022,Quarter-finals,Croatia,Brazil,1,1,0,0,2,0,second,yes
2022,Quarter-finals,Netherlands,Argentina,2,2,0,1,4,1,second,yes
2022,Quarter-finals,Morocco,Portugal,1,0,1,0,1,1,first,no
2022,Quarter-finals,England,France,1,2,0,1,3,1,second,yes
2022,Semi-finals,Argentina,Croatia,3,0,2,0,3,2,first,no
2022,Semi-finals,France,Morocco,2,0,1,0,2,1,same,no
2022,Third Place Play-off,Croatia,Morocco,2,1,2,1,3,3,first,yes
2022,Final,Argentina,France,3,3,2,0,6,2,second,yes
